,game_id,a_team_id,team_id,a_price,h_price,is_home,wl,season_year,player_1,player_2,player_3,player_4,player_5,player_6,team_id_a,player_1_a,player_2_a,player_3_a,player_4_a,player_5_a,player_6_a,season_num
195,21201127,1610612739,1610612738,2.75,1.4761904761904763,t,0,2012,Brandon Bass,Jeff Green,Terrence Williams,Jordan Crawford,Avery Bradley,Jason Terry,1610612739,Tristan Thompson,Kyrie Irving,Wayne Ellington,Alonzo Gee,Tyler Zeller,Shaun Livingston,0.5555555555555556
1377,21000865,1610612752,1610612739,1.2222222222222223,4.25,t,1,2010,JJ Hickson,Antawn Jamison,Anthony Parker,Ramon Sessions,Alonzo Gee,Daniel Gibson,1610612752,Amar'e Stoudemire,Carmelo Anthony,Landry Fields,Toney Douglas,Chauncey Billups,Ronny Turiaf,0.3333333333333333
5658,21100332,1610612764,1610612761,2.7,1.5,t,1,2011,Jose Calderon,Jerryd Bayless,DeMar DeRozan,Leandro Barbosa,Amir Johnson,Ed Davis,1610612764,Nick Young,Rashard Lewis,Trevor Booker,John Wall,Kevin Seraphin,Jordan Crawford,0.4444444444444444
7968,21501153,1610612738,1610612747,1.2,4.5,t,0,2015,Jordan Clarkson,D'Angelo Russell,Kobe Bryant,Julius Randle,Roy Hibbert,Marcelo Huertas,1610612738,Evan Turner,Jae Crowder,Isaiah Thomas,Marcus Smart,Amir Johnson,Terry Rozier,0.8888888888888888
5095,20800784,1610612752,1610612746,2.9,1.434782608695652,t,1,2008,Baron Davis,Zach Randolph,Eric Gordon,Al Thornton,Steve Novak,Fred Jones,1610612752,Nate Robinson,Wilson Chandler,Al Harrington,David Lee,Jared Jeffries,Danilo Gallinari,0.1111111111111111
4986,20800220,1610612748,1610612757,3.8,1.2777777777777777,t,1,2008,Brandon Roy,Greg Oden,Steve Blake,LaMarcus Aldridge,Channing Frye,Nicolas Batum,1610612748,Dwyane Wade,Michael Beasley,Mario Chalmers,Mark Blount,Daequan Cook,Udonis Haslem,0.1111111111111111
6909,20700065,1610612742,1610612744,1.3125,3.6,t,0,2007,Monta Ellis,Baron Davis,Andris Biedrins,Kelenna Azubuike,Al Harrington,Matt Barnes,1610612742,Dirk Nowitzki,Jason Terry,Devin Harris,Brandon Bass,Josh Howard,Jerry Stackhouse,0.0
2416,21300980,1610612739,1610612744,4.5,1.2,t,0,2013,Harrison Barnes,Stephen Curry,David Lee,Andre Iguodala,Andrew Bogut,Draymond Green,1610612739,Kyrie Irving,Spencer Hawes,Luol Deng,Dion Waiters,Jarrett Jack,Tristan Thompson,0.6666666666666666
2611,21401013,1610612746,1610612758,1.2222222222222223,4.25,t,0,2014,Rudy Gay,Jason Thompson,Andre Miller,Derrick Williams,Reggie Evans,Nik Stauskas,1610612746,Chris Paul,JJ Redick,DeAndre Jordan,Blake Griffin,Hedo Turkoglu,Austin Rivers,0.7777777777777778
2996,20800398,1610612743,1610612756,3.1,1.4,t,1,2008,Amar'e Stoudemire,Jason Richardson,Steve Nash,Shaquille O'Neal,Grant Hill,Matt Barnes,1610612743,Nene,Kenyon Martin,Chauncey Billups,Carmelo Anthony,JR Smith,Linas Kleiza,0.1111111111111111
7745,21100238,1610612761,1610612746,4.25,1.2222222222222223,t,1,2011,Blake Griffin,Chauncey Billups,Randy Foye,Mo Williams,DeAndre Jordan,Ryan Gomes,1610612761,DeMar DeRozan,Ed Davis,Linas Kleiza,Jose Calderon,Leandro Barbosa,James Johnson,0.4444444444444444
6914,20700086,1610612764,1610612737,2.9,1.434782608695652,t,0,2007,Marvin Williams,Joe Johnson,Josh Smith,Josh Childress,Al Horford,Tyronn Lue,1610612764,Caron Butler,Antawn Jamison,Gilbert Arenas,Brendan Haywood,Darius Songaila,DeShawn Stevenson,0.0
4355,21300396,1610612745,1610612765,1.6896551724137931,2.25,t,0,2013,Brandon Jennings,Kyle Singler,Josh Smith,Andre Drummond,Greg Monroe,Will Bynum,1610612745,Chandler Parsons,Dwight Howard,Francisco Garcia,Aaron Brooks,Omri Casspi,Terrence Jones,0.6666666666666666
